,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
1,2022-04-09,21:00,Série A,Matchweek 1,Sat,Home,L,2,3,Ceará,2.5,1.5,56.0,27100.0,Gustavo Gómez,4-3-3,Caio Max Augusto Vieira,Match Report,,16,3,17.1,0.0,1,1,2022,Palmeiras
3,2022-04-16,16:30,Série A,Matchweek 2,Sat,Away,D,1,1,Goiás,1.9,0.8,75.0,12864.0,Gustavo Gómez,4-2-3-1,Braulio da Silva Machado,Match Report,,22,6,15.8,0.0,0,0,2022,Palmeiras
4,2022-04-20,19:30,Série A,Matchweek 4,Wed,Away,D,0,0,Flamengo,0.8,1.4,45.0,69997.0,Gustavo Gómez,4-2-3-1,Wilton Sampaio,Match Report,,10,2,22.4,0.0,0,0,2022,Palmeiras
5,2022-04-23,19:00,Série A,Matchweek 3,Sat,Home,W,3,0,Corinthians,1.5,0.2,44.0,23973.0,Gustavo Gómez,4-2-3-1,Anderson Daronco,Match Report,,20,7,17.3,1.0,0,0,2022,Palmeiras
8,2022-05-08,16:00,Série A,Matchweek 5,Sun,Home,D,1,1,Fluminense,2.1,0.7,50.0,28776.0,Gustavo Gómez,4-2-3-1,Savio Pereira,Match Report,,19,5,20.2,3.0,0,0,2022,Palmeiras
9,2022-05-14,16:30,Série A,Matchweek 6,Sat,Home,W,2,0,Bragantino,1.8,0.4,49.0,36123.0,Gustavo Gómez,4-2-3-1,Flavio Rodrigues De Souza,Match Report,,13,6,18.5,0.0,1,1,2022,Palmeiras
11,2022-05-21,19:00,Série A,Matchweek 7,Sat,Away,W,3,0,Juventude,1.7,0.9,54.0,5513.0,Marcos Rocha,4-3-3,Marcelo de Lima Henrique,Match Report,,20,8,19.4,2.0,0,0,2022,Palmeiras
13,2022-05-29,16:00,Série A,Matchweek 8,Sun,Away,W,1,0,Santos,1.8,1.7,55.0,14220.0,Gustavo Gómez,4-2-3-1,Luiz Flávio de Oliveira,Match Report,,16,4,22.3,0.0,0,1,2022,Palmeiras
14,2022-06-05,16:00,Série A,Matchweek 9,Sun,Home,D,0,0,Atlético Mineiro,0.9,0.4,50.0,40235.0,Marcos Rocha,4-2-3-1,Wilton Sampaio,Match Report,,16,3,20.7,2.0,0,0,2022,Palmeiras
15,2022-06-09,19:00,Série A,Matchweek 10,Thu,Home,W,4,0,Botafogo (RJ),2.7,0.8,47.0,33431.0,Marcos Rocha,4-2-3-1,Anderson Daronco,Match Report,,14,6,8.9,0.0,0,0,2022,Palmeiras
16,2022-06-12,18:00,Série A,Matchweek 11,Sun,Away,W,2,0,Coritiba,0.9,0.6,53.0,27356.0,Marcos Rocha,4-2-3-1,Leandro Pedro Vuaden,Match Report,,16,6,22.3,0.0,0,0,2022,Palmeiras
17,2022-06-16,18:00,Série A,Matchweek 12,Thu,Home,W,4,2,Atl Goianiense,3.0,1.0,49.0,38888.0,Gustavo Gómez,4-2-3-1,Ramon Abatti Abel,Match Report,,29,12,16.9,2.0,0,0,2022,Palmeiras
18,2022-06-20,20:00,Série A,Matchweek 13,Mon,Away,W,2,1,São Paulo,1.6,1.2,60.0,31055.0,Gustavo Gómez,4-3-1-2,Anderson Daronco,Match Report,,23,6,19.7,2.0,0,0,2022,Palmeiras
19,2022-06-26,16:00,Série A,Matchweek 14,Sun,Away,D,2,2,Avaí,2.5,1.1,51.0,15233.0,Gustavo Gómez,4-2-3-1,Wagner do Nascimento Magalhães,Match Report,,14,3,15.9,1.0,1,1,2022,Palmeiras
21,2022-07-02,21:00,Série A,Matchweek 15,Sat,Home,L,0,2,Atl Paranaense,3.8,2.0,70.0,39192.0,Gustavo Gómez,3-4-3,Braulio da Silva Machado,Match Report,,35,7,19.6,1.0,0,0,2022,Palmeiras
23,2022-07-10,18:00,Série A,Matchweek 16,Sun,Away,D,0,0,Fortaleza,1.1,1.0,60.0,24888.0,Marcos Rocha,4-2-3-1,Wilton Sampaio,Match Report,,12,5,22.1,2.0,0,0,2022,Palmeiras
24,2022-07-18,20:00,Série A,Matchweek 17,Mon,Home,W,1,0,Cuiabá,1.5,0.2,61.0,39033.0,Gustavo Gómez,4-2-3-1,Anderson Daronco,Match Report,,16,8,16.0,0.0,0,0,2022,Palmeiras
25,2022-07-21,20:00,Série A,Matchweek 18,Thu,Away,W,1,0,América (MG),1.4,2.0,52.0,6462.0,Gustavo Gómez,4-2-3-1,Braulio da Silva Machado,Match Report,,17,5,18.6,1.0,0,0,2022,Palmeiras
26,2022-07-24,16:00,Série A,Matchweek 19,Sun,Home,W,2,1,Internacional,1.3,0.7,52.0,38658.0,Gustavo Gómez,4-2-3-1,Bruno Arleu de Araujo,Match Report,,18,9,18.3,1.0,0,0,2022,Palmeiras
27,2022-07-30,16:30,Série A,Matchweek 20,Sat,Away,W,2,1,Ceará,1.4,1.2,53.0,40912.0,Gustavo Gómez,4-2-3-1,Anderson Daronco,Match Report,,16,7,21.4,2.0,0,0,2022,Palmeiras
29,2022-08-07,16:00,Série A,Matchweek 21,Sun,Home,W,3,0,Goiás,2.5,0.6,56.0,38801.0,Gustavo Gómez,4-2-3-1,Jean Pierre Goncalves Lima,Match Report,,18,7,18.3,0.0,1,1,2022,Palmeiras
31,2022-08-13,19:00,Série A,Matchweek 22,Sat,Away,W,1,0,Corinthians,0.4,0.4,43.0,44966.0,Gustavo Gómez,4-2-3-1,Raphael Claus,Match Report,,9,3,22.7,0.0,0,0,2022,Palmeiras
32,2022-08-21,16:00,Série A,Matchweek 23,Sun,Home,D,1,1,Flamengo,1.5,0.9,57.0,40485.0,Gustavo Gómez,4-2-3-1,Ramon Abatti Abel,Match Report,,20,3,18.1,0.0,0,0,2022,Palmeiras
33,2022-08-27,19:00,Série A,Matchweek 24,Sat,Away,D,1,1,Fluminense,0.6,1.3,39.0,45084.0,Gustavo Gómez,4-2-3-1,Braulio da Silva Machado,Match Report,,9,2,18.1,1.0,0,0,2022,Palmeiras
35,2022-09-03,19:00,Série A,Matchweek 25,Sat,Away,D,2,2,Bragantino,1.2,1.4,60.0,9685.0,Luan Garcia,4-2-3-1,Raphael Claus,Match Report,,11,3,16.1,1.0,0,0,2022,Palmeiras
37,2022-09-10,21:00,Série A,Matchweek 26,Sat,Home,W,2,1,Juventude,1.7,0.7,66.0,39337.0,Gustavo Gómez,4-2-3-1,Jefferson Ferreira de Moraes,Match Report,,24,9,16.5,0.0,0,0,2022,Palmeiras
38,2022-09-18,18:30,Série A,Matchweek 27,Sun,Home,W,1,0,Santos,1.0,0.6,54.0,40337.0,Gustavo Gómez,4-2-3-1,Wilton Sampaio,Match Report,,19,3,20.0,1.0,0,0,2022,Palmeiras
39,2022-09-28,21:45,Série A,Matchweek 28,Wed,Away,W,1,0,Atlético Mineiro,1.3,1.2,33.0,28644.0,Marcos Rocha,3-4-1-2,Marcelo de Lima Henrique,Match Report,,10,3,19.1,1.0,0,0,2022,Palmeiras
40,2022-10-03,20:00,Série A,Matchweek 29,Mon,Away,W,3,1,Botafogo (RJ),2.5,0.9,52.0,16545.0,Gustavo Gómez,4-2-3-1,Wilton Sampaio,Match Report,,11,4,16.8,0.0,1,1,2022,Palmeiras
41,2022-10-06,19:00,Série A,Matchweek 30,Thu,Home,W,4,0,Coritiba,2.4,0.4,56.0,39877.0,Gustavo Gómez,4-2-3-1,Braulio da Silva Machado,Match Report,,19,11,13.6,0.0,0,0,2022,Palmeiras
42,2022-10-10,18:30,Série A,Matchweek 31,Mon,Away,D,1,1,Atl Goianiense,1.1,0.6,56.0,12089.0,Gustavo Gómez,4-2-3-1,Bruno Arleu de Araujo,Match Report,,17,6,20.4,2.0,0,0,2022,Palmeiras
43,2022-10-16,16:00,Série A,Matchweek 32,Sun,Home,D,0,0,São Paulo,2.0,0.4,56.0,40795.0,Gustavo Gómez,4-2-3-1,Flavio Rodrigues De Souza,Match Report,,18,7,20.4,3.0,0,1,2022,Palmeiras
44,2022-10-22,21:00,Série A,Matchweek 33,Sat,Home,W,3,0,Avaí,3.9,0.8,50.0,,Gustavo Gómez,4-2-3-1,Bruno Arleu de Araujo,Match Report,,21,8,17.4,1.0,1,1,2022,Palmeiras
45,2022-10-25,21:45,Série A,Matchweek 34,Tue,Away,W,3,1,Atl Paranaense,2.2,0.2,71.0,,Gustavo Gómez,4-2-3-1,Braulio da Silva Machado,Match Report,,17,5,17.2,2.0,0,0,2022,Palmeiras
46,2022-11-02,21:30,Série A,Matchweek 35,Wed,Home,W,4,0,Fortaleza,2.2,0.5,55.0,,Gustavo Gómez,4-2-3-1,Wilton Sampaio,Match Report,,18,9,17.4,1.0,0,0,2022,Palmeiras
